Root.organism.name,text
MYCOPLASMA,"Mycoplasma is a genus of bacteria that lack a cell wall around their cell membrane.[1] Without a cell wall, they are unaffected by many common antibiotics such as penicillin or other beta-lactam antibiotics that target cell wall synthesis. They can be parasitic or saprotrophic. Several species are pathogenic in humans, including M. pneumoniae, which is an important cause of atypical pneumonia and other respiratory disorders, and M. genitalium, which is believed to be involved in pelvic inflammatory diseases. Mycoplasma species are the smallest bacterial cells yet discovered,[2] can survive without oxygen, and are typically about 0.1  micrometres in diameter. Hundreds of mycoplasmae infect animals.[3]"
STREPTOCOCCUS,"Streptococcus is a genus of coccus (spherical) Gram-positive bacteria belonging to the phylum Firmicutes[3] and the Lactobacillales (lactic acid bacteria) order. Cellular division occurs along a single axis in these bacteria, and thus they grow in chains or pairs, hence the name from Greek streptos, meaning easily bent or twisted, like a chain (twisted chain).
Contrast this with Staphylococci, which divide along multiple axes and generate grape-like clusters of cells. Most Streptococci are oxidase- and catalase-negative, and many are facultative anaerobes.
In 1984, many organisms formerly considered Streptococcus were separated out into the genera Enterococcus and Lactococcus.[4] Currently, over 50 species are recognised in this genus."
REOVIRUSES,"Reoviridae is a family of viruses. They have a wide host range, including vertebrates, invertebrates, plants, and fungi.[1] There are currently 87 species in this family, divided among 30 genera.[2] Reoviruses can affect the gastrointestinal system (such as Rotavirus) and respiratory tract.[3] The name ""Reo-"" is derived from respiratory enteric orphan viruses.[4] The term ""orphan virus"" refers to the fact that some of these viruses have been observed not associated with any known disease. Even though viruses in the Reoviridae family have more recently been identified with various diseases, the original name is still used.
Reovirus infection occurs often in humans, but most cases are mild or subclinical. Rotavirus, however, can cause severe diarrhea and intestinal distress in children. The virus can be readily detected in feces, and may also be recovered from pharyngeal or nasal secretions, urine, cerebrospinal fluid, and blood. Despite the ease of finding Reovirus in clinical specimens, their role in human disease or treatment is still uncertain.
Some viruses of this family infect plants. For example, Phytoreovirus and Oryzavirus."
PASTEURELLA,"Pasteurella is a genus of Gram-negative, facultatively anaerobic bacteria.[1][2] Pasteurella species are nonmotile and pleomorphic. Most species are catalase- and oxidase-positive.[3] The genus is named after the French chemist and microbiologist, Louis Pasteur, who first identified the bacteria now known as Pasteurella multocida as the agent of chicken cholera."
ASPERGILLUS,"Aspergillus is a genus consisting of a few hundred mold species found in various climates worldwide.
Aspergillus was first catalogued in 1729 by the Italian priest and biologist Pier Antonio Micheli. Viewing the fungi under a microscope, Micheli was reminded of the shape of an aspergillum (holy water sprinkler), from Latin spargere (to sprinkle), and named the genus accordingly.[1] Today, aspergillum is also the name of an asexual spore-forming structure common to all Aspergillus species; around one-third of species are also known to have a sexual stage."
ENTEROVIRUS,"Enteroviruses are a genus of positive-sense single-stranded RNA viruses associated with several human and mammalian diseases. Serologic studies have distinguished 71 human enterovirus serotypes on the basis of antibody neutralization tests. Additional antigenic variants have been defined within several of the serotypes on the basis of reduced or nonreciprocal cross-neutralization between variant strains. On the basis of their pathogenesis in humans and animals, the enteroviruses were originally classified into four groups, polioviruses, Coxsackie A viruses (CA), Coxsackie B viruses (CB), and echoviruses, but it was quickly realized that there were significant overlaps in the biological properties of viruses in the different groups. Enteroviruses isolated more recently are named with a system of consecutive numbers: EV68, EV69, EV70, EV71, etc.[1]
Enteroviruses affect millions of people worldwide each year, and are often found in the respiratory secretions (e.g., saliva, sputum, or nasal mucus) and stool of an infected person. Historically, poliomyelitis was the most significant disease caused by an enterovirus, poliovirus. There are 64 non-polio enteroviruses that can cause disease in humans: 23 Coxsackie A viruses, 6 Coxsackie B viruses, 28 echoviruses, and 5 other enteroviruses.[2] Poliovirus, as well as coxsackie and echovirus are spread through the fecal-oral route. Infection can result in a wide variety of symptoms ranging from mild respiratory illness (common cold), hand, foot and mouth disease, acute hemorrhagic conjunctivitis, aseptic meningitis, myocarditis, severe neonatal sepsis-like disease, and acute flaccid paralysis.[2]"
PSEUDOMONAS,"Pseudomonas is a genus of Gram-negative, aerobic gammaproteobacteria, belonging to the family Pseudomonadaceae containing 191 validly described species.[1] The members of the genus demonstrate a great deal of metabolic diversity, and consequently are able to colonize a wide range of niches.[2] Their ease of culture in vitro and availability of an increasing number of Pseudomonas strain genome sequences has made the genus an excellent focus for scientific research; the best studied species include P. aeruginosa in its role as an opportunistic human pathogen, the plant pathogen P. syringae, the soil bacterium P. putida, and the plant growth-promoting P. fluorescens.
Because of their widespread occurrence in water and plant seeds such as dicots, the pseudomonads were observed early in the history of microbiology. The generic name Pseudomonas created for these organisms was defined in rather vague terms by Walter Migula in 1894 and 1900 as a genus of Gram-negative, rod-shaped and polar-flagellated bacteria with some sporulating species,[3][4] the latter statement was later proved incorrect and was due to refractive granules of reserve materials.[5] Despite the vague description, the type species, Pseudomonas pyocyanea (basonym of Pseudomonas aeruginosa), proved the best descriptor.[5]"
HAEMOPHILUS,"Haemophilus is a genus of Gram-negative, pleomorphic, coccobacilli bacteria belonging to the Pasteurellaceae family.[1][2] While Haemophilus bacteria are typically small coccobacilli, they are categorized as pleomorphic bacteria because of the wide range of shapes they occasionally assume. The genus includes commensal organisms along with some significant pathogenic species such as H. influenzae_a cause of sepsis and bacterial meningitis in young children_and H. ducreyi, the causative agent of chancroid. All members are either aerobic or facultatively anaerobic."
AEROMONAS,"Aeromonas is a Gram-negative, facultative anaerobic, rod-shaped bacterium that morphologically resembles members of the family Enterobacteriaceae. Most of the 14 described species have been associated with human diseases. The most important pathogens are A. hydrophila, A. caviae, and A. veronii biovar sobria. The organisms are ubiquitous in fresh and brackish water. [1]
They group with the gamma subclass of the Proteobacteria.[2]
Two major diseases associated with Aeromonas are gastroenteritis and wound infections, with or without bacteremia. Gastroenteritis typically occurs after the ingestion of contaminated water or food, whereas wound infections result from exposure to contaminated water.
Although some potential virulence factors (e.g. endotoxins, hemolysins, enterotoxins, adherence factors) have been identified, their precise roles are unknown. Aeromonas species cause:
opportunistic systemic disease in immunocompromised patients
diarrheal disease in otherwise healthy individuals
wound infections"
PARVOVIRUS B19,"Primate erythroparvovirus 1, generally referred to as B19 virus, parvovirus B19[1] or sometimes erythrovirus B19,[2] was the first (and until 2005 the only) known human virus in the family Parvoviridae, genus Erythroparvovirus; it measures only 23_26 nm in diameter.[3] The name is derived from Latin, parvum meaning small, reflecting the fact that B19 ranks among the smallest DNA viruses. B19 virus is most known for causing disease in the pediatric population; however, it can also affect adults. It is the classic cause of the childhood rash called fifth disease or erythema infectiosum, or ""slapped cheek syndrome."" [4][5]
The virus was discovered by chance in 1975 by Australian virologist Yvonne Cossart.[5][6] It gained its name because it was discovered in well B19 of a large series of microtiter plates labelled in this way.[5][7]"
CANDIDA,"Candida is a genus of yeasts and is the most common cause of fungal infections worldwide.[1] Many species are harmless commensals or endosymbionts of hosts including humans; however, when mucosal barriers are disrupted or the immune system is compromised they can invade and cause disease.[2] Candida albicans is the most commonly isolated species, and can cause infections (candidiasis or thrush) in humans and other animals. In winemaking, some species of Candida can potentially spoil wines.[3]
Many species are found in gut flora, including C. albicans in mammalian hosts, whereas others live as endosymbionts in insect hosts.[4][5][6]
Systemic infections of the bloodstream and major organs (candidemia or invasive candidiasis), particularly in immunocompromised patients, affect over 90,000 people a year in the U.S.[7]
The DNA of several Candida species has been sequenced.[7]
Antibiotics promote yeast infections, including gastrointestinal Candida overgrowth, and penetration of the GI mucosa.[8] While women are more susceptible to genital yeast infections, men can also be infected. Certain factors, such as prolonged antibiotic use, increase the risk for both men and women. People with diabetes or impaired immune systems, such as those with HIV, are more susceptible to yeast infections.[9][10]
Candida antarctica is a source of industrially important lipases."
ASCARIS,"Ascaris is a genus of parasitic nematode worms known as the ""small intestinal roundworms"", which is a type of helminth. One species, Ascaris lumbricoides, affects humans and causes the disease ascariasis. Another species, Ascaris suum, typically infects pigs. Parascaris equorum, the equine roundworm, is also commonly called an ""Ascarid.""[1]
Their eggs are deposited in feces and soil. Plants with the eggs on them infect any organism that consumes them.[2] A. lumbricoides is the largest intestinal roundworm and is the most common helminth infection of humans worldwide. Infestation can cause morbidity by compromising nutritional status,[3] affecting cognitive processes,[citation needed] inducing tissue reactions such as granuloma to larval stages, and by causing intestinal obstruction, which can be fatal."
DIPHTHEROIDES,
INFLUENZA VIRUS,"The Orthomyxoviruses are a family of RNA viruses that includes six genera: Influenza virus A, Influenza virus B, Influenza virus C, Isavirus, Thogotovirus and Quaranjavirus. The first three genera contain viruses that cause influenza in vertebrates, including birds (see also avian influenza), humans, and other mammals. Isaviruses infect salmon; the thogotoviruses are arboviruses, infecting vertebrates and invertebrates, such as ticks and mosquitoes.[2][3][4]
The three genera of Influenza virus, which are identified by antigenic differences in their nucleoprotein and matrix protein, infect vertebrates as follows:
Influenza virus A infects humans, other mammals, and birds, and causes all flu pandemics
Influenza virus B infects humans and seals
Influenza virus C infects humans, pigs and dogs."
CRYPTOSPORIDIUM,"Cryptosporidium is a genus of apicomplexan protozoans that can cause gastrointestinal illness with diarrhea in humans. Cryptosporidium is the organism most commonly isolated in HIV-positive patients presenting with diarrhea. Treatment is symptomatic, with fluid rehydration, electrolyte correction and management of any pain. Cryptosporidium oocysts are 4-6 micrometres in diameter and exhibit partial acid-fast staining. They must be differentiated from other partially acid-fast organisms including Cyclospora cayetanensis."
HERPES VIRUSES,"Herpes simplex virus 1 and 2 (HSV-1 and HSV-2), also known as human herpesvirus 1 and 2 (HHV-1 and HHV-2), are two members of the herpesvirus family, Herpesviridae, that infect humans.[1] Both HSV-1 (which produces most cold sores) and HSV-2 (which produces most genital herpes) are ubiquitous and contagious. They can be spread when an infected person is producing and shedding the virus. Herpes simplex can be spread through contact with saliva, such as sharing drinks.
Symptoms of herpes simplex virus infection include watery blisters in the skin or mucous membranes of the mouth, lips or genitals.[1] Lesions heal with a scab characteristic of herpetic disease. Sometimes, the viruses cause very mild or atypical symptoms during outbreaks. However, as neurotropic and neuroinvasive viruses, HSV-1 and -2 persist in the body by becoming latent and hiding from the immune system in the cell bodies of neurons. After the initial or primary infection, some infected people experience sporadic episodes of viral reactivation or outbreaks. In an outbreak, the virus in a nerve cell becomes active and is transported via the neuron's axon to the skin, where virus replication and shedding occur and cause new sores.[2] It is one of the most common sexually transmitted infections.[3]"
HOOKWORM,"Hookworm infection, also known as hookworm disease, is an infection by a parasitic bloodsucking roundworm. Hookworm infections include ancylostomiasis and necatoriasis. These worms live in the small intestine of their host, which may be a bird or a mammal such as a dog, cat, or human. Hookworm infection in pregnancy can cause retarded growth of the fetus, premature birth and a low birth weight. Hookworms in children can cause intellectual, cognitive and growth problems.
Two species of hookworms commonly infect humans: Ancylostoma duodenale and Necator americanus. A. duodenale predominates in the Middle East, North Africa, India and (formerly) in southern Europe, while N. americanus predominates in the Americas, Sub-Saharan Africa, Southeast Asia, China, and Indonesia. A. tubaeforme infects cats, A. caninum infects dogs and A. braziliense and Uncinaria stenocephala infect both cats and dogs. Hookworms are much smaller than the giant roundworms Ascaris lumbricoides and so cause less tissue damage and obstruction. The most significant risk of hookworm infection is anemia, secondary to loss of iron (and protein) in the gut. The worms suck blood voraciously and damage the mucosa. However, the blood loss in the stools is not visibly apparent.
Hookworm infection affects over half a billion people globally.[1] It is a leading cause of maternal and child morbidity in the developing countries of the tropics and subtropics. In developed countries, hookworm infection is rarely fatal, but anemia can be significant in a heavily infected individual. Hookworm infection is a soil-transmitted helminthiasis and therefore classified as a neglected tropical disease.[2] Ancylostomiasis is the disease caused when Ancylostoma duodenale hookworms, present in large numbers, produce an iron deficiency anemia by sucking blood from the host's intestinal walls."
ENTEROCOCCUS,"Enterococcus is a large genus of lactic acid bacteria of the phylum Firmicutes. Enterococci are Gram-positive cocci that often occur in pairs (diplococci) or short chains, and are difficult to distinguish from streptococci on physical characteristics alone.[2] Two species are common commensal organisms in the intestines of humans: E. faecalis (90-95%) and E. faecium (5-10%). Rare clusters of infections occur with other species, including E. casseliflavus, E. gallinarum, and E. raffinosus.[2]"
RUBELLA VIRUS,"Rubella virus (RuV) is the pathogenic agent of the disease rubella, and is the cause of congenital rubella syndrome when infection occurs during the first weeks of pregnancy.
Rubella virus is the only member of the genus Rubivirus and belongs to the family of Togaviridae, whose members commonly have a genome of single-stranded RNA of positive polarity which is enclosed by an icosahedral capsid.
The molecular basis for the causation of congenital rubella syndrome are not yet completely clear, but in vitro studies with cell lines showed that rubella virus has an apoptotic effect on certain cell types. There is evidence for a p53-dependent mechanism.[1]"
CORYNEBACTERIUM,"Corynebacterium (k_r""u-n_-bak-t_r'_-um, ku-rin'u-) is a genus of Gram-positive, aerobe, rod-shaped bacteria. They are widely distributed in nature and are mostly innocuous.[1] Some are useful in industrial settings such as C. glutamicum.[2] Others can cause human disease, including most notably diphtheria which is caused by C. diphtheriae."
BACTEROIDES,"Bacteroides is a genus of Gram-negative, obligate anaerobic bacteria. Bacteroides species are non-endospore-forming bacilli, and may be either motile or non-motile, depending on the species.[1] The DNA base composition is 40-48% GC. Unusual in bacterial organisms, Bacteroides membranes contain sphingolipids. They also contain meso-diaminopimelic acid in their peptidoglycan layer.
Bacteroides are normally mutualistic, making up the most substantial portion of the mammalian gastrointestinal flora,[2] where they play a fundamental role in processing of complex molecules to simpler ones in the host intestine.[3][4][5] As many as 1010-1011 cells per gram of human feces have been reported.[6] They can use simple sugars when available; however, the main sources of energy for Bacteroides species in the gut are complex host-derived and plant glycans.[7] Studies indicate that long-term diet is strongly associated with the gut microbiome composition - those who eat plenty of protein and animal fats have predominantly Bacteroides bacteria, while for those who consume more carbohydrates the Prevotella species dominate.[8]
One of the most important clinically is Bacteroides fragilis.
Bacteroides melaninogenicus has recently been reclassified and split into Prevotella melaninogenica and Prevotella intermedia.[9]"
ENTEROBACTER,"Enterobacter is a genus of common Gram-negative, facultatively anaerobic, rod-shaped, non-spore-forming bacteria of the family Enterobacteriaceae. Several strains of these bacteria are pathogenic and cause opportunistic infections in immunocompromised (usually hospitalized) hosts and in those who are on mechanical ventilation. The urinary and respiratory tracts are the most common sites of infection. The genus Enterobacter is a member of the coliform group of bacteria. It does not belong to the fecal coliforms (or thermotolerant coliforms) group of bacteria, unlike Escherichia coli, because it is incapable of growth at 44.5 degrees C in the presence of bile salts. Some of them showed quorum sensing properties as reported before [1][2]
Two clinically important species from this genus are E. aerogenes and E. cloacae."
PNEUMOCYSTIS,"Pneumocystidomycetes is a class of ascomycete fungi. It includes the single order Pneumocystidales, which contains the single monotypic family Pneumocystidaceae, which in turn contains the genus Pneumocystis."
TRICHOSTRONGYLUS,"Trichostrongylus species are nematodes (round worms), which are ubiquitous among herbivores worldwide, including cattle, sheep, donkeys, goats, deer, and rabbits.[1][2][3] At least 10 Trichostrongylus species have been associated with human infections.[1] Infections occur via ingestion of infective larvae from contaminated vegetables or water.[1][3] Epidemiological studies indicate a worldwide distribution of Trichostrongylus infections in humans, with the highest prevalence rates observed in individuals from regions with poor sanitary conditions, in rural areas, or who are farmers / herders.[4][5] Human infections are most prevalent in the Middle East and Asia,[3] with a worldwide estimated prevalence of 5.5 million people.[1]"
YERSINIA,"Yersinia is a genus of bacteria in the family Enterobacteriaceae. Yersinia species are Gram-negative, rod-shaped bacteria, a few micrometers long and fractions of a micrometer in diameter, and are facultative anaerobes.[1] Some members of Yersinia are pathogenic in humans; in particular, Y. pestis is the causative agent of the plague. Rodents are the natural reservoirs of Yersinia; less frequently, other mammals serve as the host. Infection may occur either through blood (in the case of Y. pestis) or in an alimentary fashion, occasionally via consumption of food products (especially vegetables, milk-derived products, and meat) contaminated with infected urine or feces.
Speculations exist as to whether or not certain Yersinia can also be spread by protozoonotic mechanisms, since Yersinia species are known to be facultative intracellular parasites; studies and discussions of the possibility of amoeba-vectored (through the cyst form of the protozoan) Yersinia propagation and proliferation are now in progress.[2]"
TOXOPLASMA,"Toxoplasma gondii is an obligate, intracellular, parasitic protozoan that causes the disease toxoplasmosis.[1] Found worldwide, T. gondii is capable of infecting virtually all warm-blooded animals,[2] although felids such as domestic cats are the only known definitive hosts in which the parasite can undergo sexual reproduction.[3]
In humans, T. gondii is one of the most common parasites;[4] serological studies estimate that 30-50% of the global population has been exposed to and may be chronically infected with T. gondii, although infection rates differ significantly from country to country.[5][6] For example, previous estimates have shown the highest prevalence of persons infected with T. gondii to be in France, at 84%.[7] Although mild, flu-like symptoms occasionally occur during the first few weeks following exposure, infection with T. gondii produces no readily observable symptoms in healthy human adults.[5][8][9] This asymptomatic state of infection is referred to as a latent infection and has recently been associated with numerous subtle adverse or pathological behavioral alterations in humans.[5][10] In infants, HIV/AIDS patients, and others with weakened immunity, infection can cause serious and occasionally fatal illness (toxoplasmosis).[8][9]
T. gondii has been shown to alter the behavior of infected rodents in ways thought to increase the rodents' chances of being preyed upon by cats.[7][11][12] Support for this ""Manipulation Hypothesis"" stems from studies showing T. gondii infected rats have a decreased aversion to cat urine and increased reaction time.[7] Because cats are the only hosts within which T. gondii can sexually reproduce to complete and begin its lifecycle, such behavioral manipulations are thought to be evolutionary adaptations to increase the parasite's reproductive success.[7] The primary mechanisms of T. gondii_induced behavioral changes in rodents is now known to occur through epigenetic remodeling in neurons which govern the associated behaviors;[13][14] for example, it modifies epigenetic methylation to cause hypomethylation of arginine vasopressin-related genes in the medial amygdala to greatly decrease predator aversion.[13][14] Widespread histone-lysine acetylation in cortical astrocytes appears to be another epigenetic mechanism employed by T. gondii.[15][16] Differences in aversion to cat urine are observed between non-infected and infected humans and sex differences within these groups were apparent as well.[17]
A number of studies have suggested subtle behavioral or personality changes may occur in infected humans,[18] and infection with the parasite has recently been associated with a number of neurological disorders, particularly schizophrenia.[12] A 2015 study also found cognitive deficits in adults to be associated with joint infection by both toxoplasma gondii and helicobacter pylori in a regression model with controls for race-ethnicity and educational attainment.[19] However, although a causal relationship between latent toxoplasmosis with these neurological phenomena has not yet been established,[5][12] preliminary evidence suggests that T. gondii infection can induce some of the same alterations in the human brain as those observed in mice.[20][21]"
PLASMODIUM,"Plasmodium, commonly known as the malaria parasite, is a large genus of parasitic protozoa. As with some other genera of clinically important microorganisms, the genus name also yields a common noun; thus species of the genus are known as plasmodia. Infection with plasmodia is known as malaria, a deadly disease widespread in the tropics.
The parasite always has two hosts in its life cycle: a mosquito vector and a vertebrate host. The life-cycle is very complex, involving a sequence of different stages both in the vector and the host. These stages include sporozoites which are injected by the mosquito vector into the host's blood; latent hypnozoites which may rest undetected in the liver for up to 30 years; merosomes and merozoites which infect the red cells (erythrocytes) of the blood; trophozoites which grow in the red cells, and schizonts which divide there, producing more merozoites which leave to infect more red cells; and male and female sexual forms, gametocytes, which are taken up by other mosquitoes. In the mosquito's midgut, the gametocytes develop into gametes which fertilize each other to form motile zygotes which escape the gut, only to grow into new sporozoites which move to the mosquito's salivary glands, from where they are injected into the mosquito's next host, infecting it and restarting the cycle.
The genus Plasmodium was first described in 1885. It now contains about 200 species divided into several subgenera; as of 2006 the taxonomy was shifting, and species from other genera are likely to be added to Plasmodium. At least ten species infect humans; other species infect other animals, including birds, reptiles and rodents, while 29 species infect non-human primates. The parasite is thought to have originated from Dinoflagellates, photosynthetic protozoa.
The most common forms of human malaria are caused by Plasmodium falciparum, P. vivax, P. knowlesi, and P. malariae. P. falciparum, common in sub-Saharan Africa, and P. knowlesi, common in Southeast Asia, are especially dangerous."
CLOSTRIDIUM,"Clostridium is a genus of Gram-positive bacteria belonging to the Firmicutes. They are obligate anaerobes capable of producing endospores.[1][2] Individual cells are rod-shaped, which gives them their name, from the Greek kloster or spindle. These characteristics traditionally defined the genus; but many species originally classified as Clostridium have been reclassified in other genera."
PARAMYXOVIRUSES,"Paramyxoviridae (from Greek para-, beyond, -myxo-, mucus or slime, plus virus, from Latin poison, slime) is a family of viruses in the order Mononegavirales. Human, vertebrates, and birds serve as natural hosts. There are currently 36 species in this family, divided among 18 genera. Diseases associated with this negative-sense single-stranded RNA virus family include: measles, mumps, respiratory tract infections.[1][2][3]"
PROTEUS,"Proteus is a genus of Gram-negative Proteobacteria. Proteus bacilli are widely distributed in nature as saprophytes, being found in decomposing animal matter, sewage, manure soil, and human and animal feces. They are opportunistic pathogens, commonly responsible for urinary and septic infections, often nosocomial."
LISTERIA,"Listeria is a genus of bacteria that contains 10 species,[1][2] each containing two subspecies. Named after the English pioneer of sterile surgery Joseph Lister, the genus received its current name in 1940. Listeria species are gram-positive, rod-shaped, facultatively anaerobic, and non-spore forming.[3] The major human pathogen in the Listeria genus is L. monocytogenes. It is usually the causative agent of the relatively rare bacterial disease, listeriosis, a serious infection caused by eating food contaminated with the bacteria. The disease affects pregnant women, newborns, adults with weakened immune systems, and the elderly.
Listeriosis is a serious disease for humans; the overt form of the disease has a case-fatality rate of about 20 percent. The two main clinical manifestations are sepsis and meningitis. Meningitis is often complicated by encephalitis, when it is known as meningoencephalitis, a pathology that is unusual for bacterial infections. Listeria ivanovii is a pathogen of mammals, specifically ruminants, and has rarely caused listeriosis in humans.[4]"
VEILLONELLA,"Veillonella are Gram-negative anaerobic cocci. This bacterium is well known for its lactate fermenting abilities. They are a normal bacterium in the intestines and oral mucosa of mammals. In humans they have been rarely implicated in cases of osteomyelitis and endocarditis, for example with the species Veillonella parvula."
MYCOBACTERIUM,"Mycobacterium is a genus of Actinobacteria, given its own family, the Mycobacteriaceae. The genus includes pathogens known to cause serious diseases in mammals, including tuberculosis (Mycobacterium tuberculosis) and the classic Hansen's strain of leprosy (Mycobacterium leprae).[1] The Greek prefix myco- means ""fungus,"" alluding to the way mycobacteria have been observed to grow in a mold-like fashion on the surface of liquids when cultured.[2]"
RHINOVIRUS,"Rhinoviruses (from the Greek (gen.) ""nose"") are the most common viral infectious agents in humans and are the predominant cause of the common cold. Rhinovirus infection proliferates in temperatures between 33-35 degrees C, the temperatures found in the nose. Rhinoviruses consist of three species in the genus Enterovirus of the Picornaviridae family of viruses.
There are 99 recognized types of human rhinoviruses that differ according to their surface proteins. They are lytic in nature and are among the smallest viruses, with diameters of about 30 nanometers. By comparison, other viruses such as smallpox and vaccinia are around 10 times larger at about 300 nanometers."
NEISSERIA,"Neisseria is a large genus of bacteria that colonize the mucosal surfaces of many animals. Of the 11 species that colonize humans, only two are pathogens, N. meningitidis and N. gonorrhoeae. Most gonoccocal infections are asymptomatic and self-resolving, and epidemic strains of the meningococcus may be carried in >95% of a population where systemic disease occurs at <1% prevalence.
Neisseria species are Gram-negative bacteria included among the proteobacteria, a large group of Gram-negative forms. Neisseria diplococci resemble coffee beans when viewed microscopically.[1]"
ENTAMOEBA,"Entamoeba is a genus of Amoebozoa found as internal parasites or commensals of animals.
In 1875, Fedor Losch described the first proven case of amoebic dysentery in St Petersburg, Russia. He referred to the amoeba he observed microscopically as 'Amoeba coli'; however it is not clear whether he was using this as a descriptive term or intended it as a formal taxonomic name.[1] The genus Entamoeba was defined by Casagrandi and Barbagallo for the species Entamoeba coli, which is known to be a commensal organism.[2] Losch's organism was renamed Entamoeba histolytica by Fritz Schaudinn in 1903; he later died, in 1906, from a self-inflicted infection when studying this amoeba. For a time during the first half of the 20th century the entire genus Entamoeba was transferred to Endamoeba, a genus of amoebas infecting invertebrates about which little is known. This move was reversed by the International Commission on Zoological Nomenclature in the late 1950s, and Entamoeba has stayed 'stable' ever since."
