Root.organism.name,text
ACTINOMYCETES,"Actinobacteria is a phylum of Gram-positive bacteria with high guanine and cytosine content in their DNA.[1] The G+C content of Actinobacteria can be as high as 70%, though some may have a low G+C content.[2] They can be terrestrial or aquatic.[3] Although understood primarily as soil bacteria, they might be more abundant in freshwaters.[4] Actinobacteria is one of the dominant bacterial phyla and contains one of the largest of bacterial genera, Streptomyces.[5] Analysis of glutamine synthetase sequence has been suggested for phylogenetic analysis of Actinobacteria.[6]
Although some of the largest and most complex bacterial cells belong to the Actinobacteria, the group of marine Actinomarinales has been described as possessing the smallest free-living prokaryotic cells.[7]"
ADENOVIRUSES,"Adenoviruses (members of the family Adenoviridae) are medium-sized (90-100 nm), nonenveloped (without an outer lipid bilayer) viruses with an icosahedral nucleocapsid containing a double stranded DNA genome. Their name derives from their initial isolation from human adenoids in 1953.[1]
They have a broad range of vertebrate hosts; in humans, 57 distinct adenoviral serotypes have been found to cause a wide range of illnesses, from mild respiratory infections in young children to life-threatening multi-organ disease in people with a weakened immune system."
AEROCOCCUS,"Aerococcus is a genus in the phylum Firmicutes (Bacteria).[1] It includes the causative agent of gaffkaemia, a disease of lobsters.[2]"
AEROMONAS,"Aeromonas is a Gram-negative, facultative anaerobic, rod-shaped bacterium that morphologically resembles members of the family Enterobacteriaceae. Most of the 14 described species have been associated with human diseases. The most important pathogens are A. hydrophila, A. caviae, and A. veronii biovar sobria. The organisms are ubiquitous in fresh and brackish water. [1]
They group with the gamma subclass of the Proteobacteria.[2]
Two major diseases associated with Aeromonas are gastroenteritis and wound infections, with or without bacteremia. Gastroenteritis typically occurs after the ingestion of contaminated water or food, whereas wound infections result from exposure to contaminated water.
Although some potential virulence factors (e.g. endotoxins, hemolysins, enterotoxins, adherence factors) have been identified, their precise roles are unknown. Aeromonas species cause:
opportunistic systemic disease in immunocompromised patients
diarrheal disease in otherwise healthy individuals
wound infections"
AGGREGATIBACTER,"Aggregatibacter is a genus in the phylum Proteobacteria (Bacteria), which contains three species, namely:
A. actinomycetemcomitans ( (Klinger 1912) Norskov-Lauritsen and Kilian 2006, (type species of the genus); Greek noun aktis, aktinos, a beam; Greek, mushroom or other fungus; New Latin actinomyces -etis, an actinomycete; Latin comitans, accompanying; New Latin actinomycetemcomitans, accompanying an actinomycete)[1]
A. aphrophilus (Khairat 1940) Norskov-Lauritsen and Kilian 2006, Ancient Greek aphros, foam; New Latin philus from Greek philosophy meaning friend, loving; New Latin aphrophilus, foam-loving)[2]
A. segnis (Kilian 1977) Norskov-Lauritsen and Kilian 2006,Latin segnis, slow, sluggish, inactive)[3]"
AGROBACTERIUM,"Agrobacterium is a genus of Gram-negative bacteria established by H. J. Conn that uses horizontal gene transfer to cause tumors in plants. Agrobacterium tumefaciens is the most commonly studied species in this genus. Agrobacterium is well known for its ability to transfer DNA between itself and plants, and for this reason it has become an important tool for genetic engineering.
The Agrobacterium genus is quite heterogeneous. Recent taxonomic studies have reclassified all of the Agrobacterium species into new genera, such as Ahrensia, Pseudorhodobacter, Ruegeria, and Stappia,[1][2] but most species have been controversially reclassified as Rhizobium species.[3][4][5]"
ALCALIGENES,"Alcaligenes is a genus of Gram-negative, aerobic, rod-shaped bacteria. The species are motile with one or more peritrichous flagella and rarely nonmotile. It is a genus of nonfermenting bacteria (in the family Alcaligenaceae). Additionally, some strains of Alcaligenes are capable of anaerobic respiration, but they must be in the presence of nitrate or nitrite; otherwise, their metabolism is respiratory and never fermentative; The genus does not use carbohydrates. Strains of Alcaligenes (such as A. faecalis) are found mostly in the intestinal tracts of vertebrates, decaying materials, dairy products, water, and soil; they can be isolated from human respiratory and gastrointestinal tracts and wounds in hospitalized patients with compromised immune systems. They are occasionally the cause of opportunistic infections, including nosocomial septicemia.[1][2]
Alcaligenes faecalis causes nosocomial septicemia, arising from contaminated hemodialysis or intravenous fluid, in immunocompromised patients.[3]
Alcaligenes species have been used for the industrial production of nonstandard amino acids; A. eutrophus also produces the biopolymer polyhydroxybutyrate.
They are rods, coccal rods, or cocci, sized at about 0.5-1.0 x 0.5-2.6 micrometres. They are obligately aerobic, but some can undergo anaerobic respiration if nitrate is present. They tend to be colorless. They typically occur in the soil and water, and some live in the intestinal tracts of vertebrates. Samples from blood, urine, feces, discharge from ears, spinal fluid, and wounds have produced this type of bacteria. Zoonotic infections from ferrets have been recorded.[4]
Alcaligenes species have been increasingly recovered over the past decade from patients with cystic fibrosis (CF). An experiment recently examined the frequency of correct identification of Alcaligenes species by microbiology labs affiliated with American CF patient care centers. Most (89%) strains of microbial agents in these tests were correctly identified by the referring laboratories as Alcaligenes xylosoxidans.[5]
A. faecalis was isolated in 1896 by Petruschky from stale beer. Several strains of the organism have been found since then. This species is motile, flagellated, slender, slightly curved, not spore-forming, slowly growing, nonfermenting, nonencapsulated, Gram-negative aerobe of the family Alcaligenaceae. This species is most commonly found in the alimentary tract as a harmless saprophyte in 5%-19% of the normal population. Systemic infection with this organism is very uncommon. It has been reported to cause sepsis, meningitis, peritonitis, enteric fever, appendicitis, cystitis, chronic suppurative otitis media, abscesses, arthritis, pneumonitis, and endocarditis. It has been associated with fatal outcomes because these organisms are resistant to commonly used antibiotics.[6]"
ALISTIPES,Alistipes is a genus in the phylum Bacteroidetes (Bacteria).[1]
ALLOIOCOCCUS,No entry
ALTERNARIA,"Alternaria is a genus of ascomycete fungi. Alternaria species are known as major plant pathogens. They are also common allergens in humans, growing indoors and causing hay fever or hypersensitivity reactions that sometimes lead to asthma. They readily cause opportunistic infections in immunocompromised people such as AIDS patients.
There are 299 species in the genus;[1][2] they are ubiquitous in the environment and are a natural part of fungal flora almost everywhere. They are normal agents of decay and decomposition. The spores are airborne and found in the soil and water, as well as indoors and on objects. The club-shaped spores are single or form long chains. They can grow thick colonies which are usually green, black, or gray.[2]
At least 20% of agricultural spoilage is caused by Alternaria species; most severe losses may reach up to 80% of yield, though.[2] Many human health disorders can be caused by these fungi, which grow on skin and mucous membranes, including on the eyeballs and within the respiratory tract. Allergies are common, but serious infections are rare, except in people with compromised immune systems. However, species of this fungal genus are often prolific producers of a variety of toxic compounds. The effects most of these compounds have on animal and plant health are not well known. Many species of alternaria modify their secondary metabolites by sulfoconjugation,[3] however the role of this process is not yet understood. The terms alternariosis and alternariatoxicosis are used for disorders in humans and animals caused by a fungus in this genus.
Not all Alternaria species are pests and pathogens; some have shown promise as biocontrol agents against invasive plant species. Some species have also been reported as endophytic microorganisms with highly bioactive metabolites."
ANAEROBIOSPIRILLUM,"Anaerobiospirillum (or Anaerobiospirillum thomasii) is a gram-negative anaerobic bacteria recognized as human flora in human gastrointestinal tract, mainly in the human feces.[1][2]"
ANAEROCOCCUS,No entry
ANCYLOSTOMA,"Ancylostoma is a genus that includes some species of hookworm.
Species include:
Ancylostoma braziliense (commonly infects cats, popularly known in Brazil as ""bicho-geografico""),
Ancylostoma caninum (commonly infects dogs),
Ancylostoma ceylanicum,
Ancylostoma duodenale,
Ancylostoma pluridentatum (commonly infects sylvatic cats),
Ancylostoma tubaeforme (infects cats along with other hosts)."
ARACHNIA,No entry
ARBOVIRUSES,"Arbovirus is a term used to refer to a group of viruses that are transmitted by arthropod vectors. The word arbovirus is an acronym (ARthropod-BOrne virus).[1] Symptoms of arbovirus infection generally occur 3-15 days after exposure to the virus and last 3 or 4 days. The most common clinical features of infection are fever, headache, and malaise, but encephalitis and hemorrhagic fever may also occur.[2] The word tibovirus (TIck-BOrne virus) is sometimes used to describe viruses transmitted by ticks, a superorder within the arthropods.[3]"
ARCANOBACTERIUM,"Arcanobacterium haemolyticum, formerly known as Corynebacterium haemolyticum, is a bacterium classified as a Gram-positive bacillus and is catalase-negative, aerobic, beta-haemolytic, nonmotile.[1] It is part of the normal flora of the pharynx, but may cause head and neck infections, pharyngitis and sinusitis.[2]"
ARCOBACTER,"Arcobacter is a genus of Gram-negative, spiral-shaped bacteria in the epsilonproteobacteria class.[1] It shows an unusually wide range of habitats, and some species can be human and animal pathogens.[1][2] Species of the genus Arcobacter are found in both animal and environmental sources, making it unique among the epsilonproteobacteria.[3] This genus currently consists of five species: A. butzleri, A. cryaerophilus, A. skirrowii, A. nitrofigilis, and A. sulfidicus, although several other potential novel species have recently been described from varying environments.[3][4] Three of these five known species are pathogenic.[4] Members of this genus were first isolated in 1977 from aborted bovine fetuses. They are aerotolerant Campylobacter-like organisms, previously classified as Campylobacter.[5] The Arcobacter genus, in fact, was created as recently as 1992.[6] Although they are similar to this other genus, Arcobacter species can grow at lower temperatures than Campylobacter as well as in the air, which Campylobacter cannot.[5]
The name Arcobacter is derived from the Latin ""arcus"" meaning ""bow"" and the Greek ""bacter"" meaning ""rod"", and should be understood to mean ""bow-shaped rod"" or ""curved rod"". This is a reference to the characteristic curved shaped that most Arcobacter cells possess.[7]"
ARGASIDAE,"The Argasidae are a family of ticks containing the soft ticks. They lack the hard scutum present in the hard ticks (Ixodidae).[1] The capitulum (mouthparts-bearing structure) is located on the underside of the animal's body and is not readily visible.[1] The family contains 193 species, although the composition of the genera is less certain, and more study is needed before the genera can become stable.[2] The currently accepted genera are Antricola, Argas, Nothaspis, Ornithodoros, and Otobius.[2]"
ARTHROBACTER,"Arthrobacter (from the Greek, ""jointed small stick"") is a genus of bacteria that is commonly found in soil. All species in this genus are Gram-positive obligate aerobes that are rods during exponential growth and cocci in their stationary phase.
Colonies of Arthrobacter have a greenish metallic center on mineral salts pyridone broth incubated at 20 degree C (68 degree F). This genus is distinctive because of its unusual habit of ""snapping division"" in which the outer bacterial cell wall ruptures at a joint (hence its name). Microbiologists refer to the type of cell division in which rods break into cocci as reversion. Under the microscope, these dividing cells appear as chevrons (""V"" shapes). Other notable characteristics are that it can use pyridone as its sole carbon source, and that its cocci are resistant to desiccation and starvation.
One species, A. crystallopoietes, has been shown to reduce hexavalent chromium levels in contaminated soil, suggesting that it may be useful in bioremediation.[1]
Arthrobacter chlorophenolicus sp. nov., a species capable of degrading high concentrations of 4-chlorophenol, may also be useful in bioremediation.[2] Arthrobacter sp. strain R1 (American Type Culture Collection strain number 49987) has been shown to grow on a variety of aromatic compounds, including homocyclic compounds, such as hydroxybenzoates, as well as N-heterocycles, including pyridine and picoline.[3]
Arthrobacter sp H65-7 produces the enzyme inulase II that converts inulin into difructose anhydride (DFA). DFA is a promising nutrient for fighting osteoporis, because it helps absorption of calcium in the intestines.[citation needed]
The enzyme Alu obtained from Arthrobacter luteus is able to cleave Alu sequences in human DNA, causing the kind of gene sequence to be named after the enzyme. Alu are a group of moderately repetitive gene sequences (300bp in length). Alu sequences make up 6-8% of the human genome.[4]"
ASCARIS,"Ascaris is a genus of parasitic nematode worms known as the ""small intestinal roundworms"", which is a type of helminth. One species, Ascaris lumbricoides, affects humans and causes the disease ascariasis. Another species, Ascaris suum, typically infects pigs. Parascaris equorum, the equine roundworm, is also commonly called an ""Ascarid.""[1]
Their eggs are deposited in feces and soil. Plants with the eggs on them infect any organism that consumes them.[2] A. lumbricoides is the largest intestinal roundworm and is the most common helminth infection of humans worldwide. Infestation can cause morbidity by compromising nutritional status,[3] affecting cognitive processes,[citation needed] inducing tissue reactions such as granuloma to larval stages, and by causing intestinal obstruction, which can be fatal."
ASPERGILLUS,"Aspergillus is a genus consisting of a few hundred mold species found in various climates worldwide.
Aspergillus was first catalogued in 1729 by the Italian priest and biologist Pier Antonio Micheli. Viewing the fungi under a microscope, Micheli was reminded of the shape of an aspergillum (holy water sprinkler), from Latin spargere (to sprinkle), and named the genus accordingly.[1] Today, aspergillum is also the name of an asexual spore-forming structure common to all Aspergillus species; around one-third of species are also known to have a sexual stage."
ASTROVIRUS,"Astrovirus is a type of virus that was first discovered in 1975 using electron microscopes following an outbreak of diarrhoea in humans.[1] In addition to humans, astroviruses have now been isolated from numerous mammalian animal species (and are classified as genus Mammoastrovirus) and from avian species such as ducks, chickens, and turkey poults (classified as genus Aviastrovirus). Astroviruses are 28-35 nm diameter, icosahedral viruses that have a characteristic five- or sixpointed star-like surface structure when viewed by electron microscopy. Along with the Picornaviridae and the Caliciviridae, the Astroviridae comprise a third family of nonenveloped viruses whose genome is composed of plus-sense, single-stranded RNA.[2] Astrovirus has a non-segmented, single stranded, positive sense RNA genome within a non-enveloped icosahedral capsid.[3] Human astroviruses have been shown in numerous studies to be an important cause of gastroenteritis in young children worldwide.[2]"
ATOPOBIUM,"Atopobium is a genus of Actinobacteria, in the family Coriobacteriaceae.
Atopobium species are anaerobic bacteria, Gram-positive rod-shaped or elliptical found as single elements or in pairs or short chains.
The atopobium vaginae was discovered in 1999 by Rodriguez [1] as a common commensal of the woman's vagina.
This is an facultative anaerobic bacteria, Gram-positive rod-shaped or elliptical cocobacilli, which form small colonies on blood agar at 37 degree C is also positive for acid phosphatase. It can be identified by 16S ribosomal RNA sequencing,[2] and is associated with bacterial vaginosis.[3][4]"
AURANTIMONAS,Aurantimonas is a genus of bacteria from the family of Aurantimonadaceae.[1][3]
AUREOBASIDIUM,"Aureobasidium pullulans is a ubiquitous black, yeast-like fungus that can be found in different environments (e.g. soil, water, air and limestone). It is well known as a naturally occurring epiphyte or endophyte of a wide range of plant species (e.g. apple, grape, cucumber, green beans, cabbage) without causing any symptoms of disease.[1] A. pullulans has a high importance in biotechnology for the production of different enzymes, siderophores and pullulan.[2] Furthermore, A. pullulans is used in biological control of plant diseases, especially storage diseases.[3][4]
Chronic human exposure to A. pullulans via humidifiers or air conditioners can lead to hypersensitivity pneumonitis (extrinsic allergic alveolitis) or ""humidifier lung"". This condition is characterized acutely by dyspnea, cough, fever, chest infiltrates, and acute inflammatory reaction. The condition can also be chronic, and lymphocyte-mediated. The chronic condition is characterized radiographically by reticulonodular infiltrates in the lung, with apical sparing. The strains causing infections in humans were reclassified to A. melanogenum.[5]
A. pullulans can be cultivated on potato dextrose agar, where it produces smooth, faint pink, yeast-like colonies covered with a slimy mass of spores. Older colonies change to black due to chlamydospore production. Primary conidia are hyaline, smooth, ellipsoidal, one-celled, and variable in shape and size; secondary conidia are smaller. Conidiophores are undifferentiated, intercalary or terminal, or arising as short lateral branches. Endoconidia are produced in an intercalary cell and released into a neighboring empty cell. Hyphae are hyaline, smooth, and thinwalled, with transverse septa. The fungus grows at 10-35 degree C with optimum growth at 30 degree C.
A. pullulans is notable for its phenotypic plasticity. Colony morphology may be affected by carbon source, colony age, temperature, light and substrate, with colonies ranging from homogeneous to sectored, yeast-like to filamentous growth, and from small to large.[6] These changes, potentially influenced by epigenetic factors, and the particular developmental sequences that the colonies proceed through may be observed with the naked eye.[6] Besides these morphological plasticity A. pullulans is also adaptable to various stressful conditions: hypersaline, acidic and alkaline, cold, and oligotrophic. Therefore, it is considered to be polyextremotolerant.[7]
The morphology-based taxonomy of the species is complicated by the large morphological variability between strains and even within a single strain. Based on molecular analyses, four varieties of the species A. pullulans were recognised: var. pullulans from substrates with low water activity and the phyllosphere; var. melanogenum from aquatic habitats; var. subglaciale from glacial habitats; and var. namibiae, which was described on the basis of only one strain isolated from dolomitic marble in Namibia.[8] However, when the genome sequences of these varieties became available, the differences between them were considered as too large to be accommodated in a single species. Therefore, the varieties were reclassified as new species: A. pullulans, A. melanogenum, A. subglaciale, and A. namibiae.[5]
Due to the relatively recent redefinition of the species, most published work does not yet distinguish between the new species belonging to the previously recognised A. pullulans species complex. It is therefore not clear to what extent this knowledge is valid for A. pullulans s. str. and what should be attributed to the three new species."
AVIAN ANTIGEN,"Avian influenza ã known informally as avian flu or bird flu ã refers to ""influenza caused by viruses adapted to birds.""[1][2][3][4][5][6][7] The type with the greatest risk is highly pathogenic avian influenza (HPAI).
""Bird flu"" is a phrase similar to ""swine flu,"" ""dog flu,"" ""horse flu,"" or ""human flu"" in that it refers to an illness caused by any of many different strains of influenza viruses that have adapted to a specific host. All known viruses that cause influenza in birds belong to the species influenza A virus. All subtypes (but not all strains of all subtypes) of influenza A virus are adapted to birds, which is why for many purposes avian flu virus is the influenza A virus. (Note, however, that the ""A"" does not stand for ""avian"").
Adaptation is not exclusive. Being adapted toward a particular species does not preclude adaptations, or partial adaptations, toward infecting different species. In this way, strains of influenza viruses are adapted to multiple species, though may be preferential toward a particular host. For example, viruses responsible for influenza pandemics are adapted to both humans and birds. Recent influenza research into the genes of the Spanish flu virus shows it to have genes adapted to both birds and humans, with more of its genes from birds than less deadly later pandemic strains.
While its most highly pathogenic strain (H5N1) had been spreading throughout Asia since 2003, avian influenza reached Europe in 2005, and the Middle East, as well as Africa, the following year.[8] On January 22, 2012, China reported its second human death due to bird flu in a month following other fatalities in Vietnam and Cambodia.[9] Companion birds in captivity and parrots are highly unlikely to contract the virus, and there has been no report of a companion bird with avian influenza since 2003. Pigeons do not contract or spread the virus.[10][11][12] 84% of affected bird populations are composed of chicken and farm birds, while the 15% is made up of wild birds according to capture-and-release operations in the 2000s, during the SARs pandemic. The first deadly Canadian case was confirmed on January 3, 2014.[13] On December 2, 2014, two turkey farms in British Columbia, Canada, had been placed under quarantine after the Canadian Food Inspection Agency confirmed an avian flu outbreak.[14]"
AZOSPIRILLUM,No entry
BABESIA,"Babesia (also called Nuttallia)[3] is a genus of protozoan apicomplexan piroplasms which was discovered by the Romanian bacteriologist Victor Babes, that infect the blood and cause a parasitic, hemolytic disease known as babesiosis. Over 100 species of Babesia have been identified, but only a few have been documented to be pathogenic in humans.[4]
In the United States, B. microti is the most common strain associated with humans. Other species infect cattle, livestock, and occasionally domestic animals.[5][6] People who contract babesiosis suffer from malaria-like symptoms. As a result, malaria is a common misdiagnosis for the disease."
BACILLUS,"Bacillus is a genus of Gram-positive, rod-shaped (bacillus) bacteria and a member of the phylum Firmicutes. Bacillus species can be obligate aerobes (oxygen reliant), or facultative anaerobes (having the ability to be aerobic or anaerobic). They will test positive for the enzyme catalase when there has been oxygen used or present.[2] Ubiquitous in nature, Bacillus includes both free-living (nonparasitic) and parasitic pathogenic species. Under stressful environmental conditions, the bacteria can produce oval endospores that are not true 'spores', but to which the bacteria can reduce themselves and remain in a dormant state for very long periods. These characteristics originally defined the genus, but not all such species are closely related, and many have been moved to other genera of the Firmicutes.[3]
Many species of Bacillus can produce copious amounts of enzymes which are made use of in different industries. Some species can form intracellular inclusions of polyhydroxyalkanoates under certain adverse environmental conditions, as in a lack of elements such as phosphorus, nitrogen, or oxygen combined with an excessive supply of carbon sources.
B.subtilis has proved a valuable model for research. Other species of Bacillus are important pathogens, causing anthrax and food poisoning."
BACTEROIDES,"Bacteroides is a genus of Gram-negative, obligate anaerobic bacteria. Bacteroides species are non-endospore-forming bacilli, and may be either motile or non-motile, depending on the species.[1] The DNA base composition is 40-48% GC. Unusual in bacterial organisms, Bacteroides membranes contain sphingolipids. They also contain meso-diaminopimelic acid in their peptidoglycan layer.
Bacteroides are normally mutualistic, making up the most substantial portion of the mammalian gastrointestinal flora,[2] where they play a fundamental role in processing of complex molecules to simpler ones in the host intestine.[3][4][5] As many as 1010-1011 cells per gram of human feces have been reported.[6] They can use simple sugars when available; however, the main sources of energy for Bacteroides species in the gut are complex host-derived and plant glycans.[7] Studies indicate that long-term diet is strongly associated with the gut microbiome composition - those who eat plenty of protein and animal fats have predominantly Bacteroides bacteria, while for those who consume more carbohydrates the Prevotella species dominate.[8]
One of the most important clinically is Bacteroides fragilis.
Bacteroides melaninogenicus has recently been reclassified and split into Prevotella melaninogenica and Prevotella intermedia.[9]"
BALANTIDIUM,Balantidium coli is a parasitic species of ciliate protozoan that causes the disease Balantidiasis.[1][2] It is the only member of the ciliate phylum known to be pathogenic to humans.[1][2]
BARTONELLA,"Bartonella is a genus of Gram-negative bacteria. It is the only genus in the family Bartonellaceae.[2][3] Facultative intracellular parasites, Bartonella species can infect healthy people, but are considered especially important as opportunistic pathogens.[4] Bartonella species are transmitted by vectors such as ticks, fleas, sand flies, and mosquitoes. At least eight Bartonella species or subspecies are known to infect humans.[5]
Bartonella henselae is the organism responsible for cat scratch disease, a self-limited disease except in immunocompromised hosts."
BERGEYELLA,No entry
BIFIDOBACTERIUM,"Bifidobacterium is a genus of Gram-positive, nonmotile, often branched anaerobic bacteria. They are ubiquitous inhabitants of the gastrointestinal tract, vagina[1][2] and mouth (B. dentium) of mammals, including humans. Bifidobacteria are one of the major genera of bacteria that make up the colon flora in mammals. Some bifidobacteria are used as probiotics.
Before the 1960s, Bifidobacterium species were collectively referred to as ""Lactobacillus bifidus""."
BILOPHILA,No entry
BIPOLARIS,Bipolaris is a genus of fungi belonging to the family Pleosporaceae. It was circumscribed by mycologist Robert A. Shoemaker in 1959.[1]
BLASTOCYSTIS,"Blastocystis is a genus of single-celled protozoan parasites belonging to a group of organisms known as the Stramenopiles (also called Heterokonts) that includes algae, diatoms, and water molds. Blastocystis comprises several species, living in the gastrointestinal tracts of species as diverse as humans, farm animals, birds, rodents, reptiles, amphibians, fish, and cockroaches.[1]
Blastocystis exhibits low host specificity, and many different species of Blastocystis can infect humans[2] and by current convention, any of these species would be identified as Blastocystis hominis if they were identified in a human. These have a widespread geographic distribution and are found at a rate of 5-10% in most developed countries, and a rate of up to 50% in less developed areas.[3] High rates of infection are also found in individuals in developed countries who work with animals.[4] Although the role of Blastocystis hominis in human disease is often referred to as controversial, a systematic survey of research studies conducted by 11 infectious disease specialists from nine countries, found that over 95% of papers published in the last 10 years identified it as causing illness in immunocompetent individuals. The paper attributed confusion over pathogenicity to the existence of asymptomatic carriers, a phenomenon the study noted is common to all gastrointestinal protozoa.[3]"
BLASTOMYCES,"Blastomyces dermatitidis is the causal agent of blastomycosis, an invasive and often serious fungal infection found occasionally in humans and other animals in regions where the fungus is endemic.[1] The causal organism is a fungus living in soil and wet, decaying wood, often in an area close to a waterway such as a lake, river or stream.[1] Indoor growth may also occur, for example, in accumulated debris in damp sheds or shacks. The fungus is endemic to parts of eastern North America, particularly boreal northern Ontario, southeastern Manitoba, Quebec south of the St. Lawrence River, parts of the U.S. Appalachian mountains and interconnected eastern mountain chains, the west bank of Lake Michigan, the state of Wisconsin, and the entire Mississippi Valley including the valleys of some major tributaries such as the Ohio River. In addition, it occurs rarely in Africa both north and south of the Sahara Desert, as well as in the Arabian Peninsula and the Indian subcontinent. Though it has never been directly observed growing in nature, it is thought to grow there as a cottony white mold, similar to the growth seen in artificial culture at 25 degree C (77 degree F). In an infected human or animal, however, it converts in growth form and becomes a large-celled budding yeast.[1] Blastomycosis is generally readily treatable with systemic antifungal drugs once it is correctly diagnosed; however, delayed diagnosis is very common except in highly endemic areas."
BLASTOSCHIZOMYCES,No entry
BOCAVIRUS,"Bocaparvovirus is a genus of viruses, in the family Parvoviridae, in the subfamily Parvovirinae. Human, cattle, and dog serve as natural hosts. There are currently 12 species in this genus including the type species Ungulate bocaparvovirus 1. Diseases associated with this genus include: human: acute respiratory illness; cattle: diarrhea and mild respiratory symptoms.[1][2]"
BORDETELLA,"Bordetella is a genus of small (0.2 - 0.7 micrometres), Gram-negative coccobacilli of the phylum Proteobacteria. Bordetella species, with the exception of B. petrii, are obligate aerobes, as well as highly fastidious, or difficult to culture. Three species are human pathogens (B. pertussis, B. parapertussis, B. bronchiseptica); one of these (B. bronchiseptica) is also motile.[1]
B. pertussis and occasionally B. parapertussis cause pertussis or whooping cough in humans, and some B. parapertussis strains can colonise sheep. B. bronchiseptica rarely infects healthy humans, though disease in immunocompromised patients has been reported.[2] B. bronchiseptica causes several diseases in other mammals, including kennel cough and atrophic rhinitis in dogs and pigs, respectively. Other members of the genus cause similar diseases in other mammals, and in birds (B. hinzii, B. avium).
The Bordetella genus is named after Jules Bordet."
BORRELIA,"Borrelia is a genus of bacteria of the spirochete phylum.[1] It causes borreliosis, a zoonotic, vector-borne disease transmitted primarily by ticks and some by lice, depending on the species.[2] The 36 known species of Borrelia are named after the French biologist Amedee Borrel."
BOTRYTIS,"Botrytis is a genus of anamorphic fungi in the family Sclerotiniaceae. Botrytis (also known as grey mold) belongs to the group hyphomycetes and has about 30 different species. It is a plant parasite as well as saprophytes on both agricultural and forest trees. It produces stout, dark, branching conidiophores that bear clusters of paler conidia (grey in mass) on denticles from apical ampullae. It is a common outdoor fungus and can be detected in spore trap samples. The fungus is often found growing on indoor plants. Although no mycotoxin has been reported from this fungus, it may cause hay fever, asthma and keratomycosis. [2]"
