Organism.name,weekly_seasonality,Monthly_seasonality,Quarterly_seasonality
CYTOMEGALOVIRUS (CMV),TRUE,FALSE,FALSE
DENGUE VIRUS,FALSE,TRUE,TRUE
DIENTAMOEBA FRAGILIS,FALSE,FALSE,FALSE
DIPHTHEROIDES,FALSE,FALSE,FALSE
ECHOVIRUS,TRUE,TRUE,TRUE
ENDOLIMAX NANA,FALSE,FALSE,FALSE
ENTAMOEBA COLI,FALSE,FALSE,FALSE
ENTAMOEBA HISTOLYTICA,TRUE,TRUE,TRUE
ENTAMOEBA HISTOLYTICA/DISPAR CYSTS SEEN,FALSE,FALSE,FALSE
ENTEROBACTER AEROGENES,FALSE,TRUE,FALSE
ENTEROBACTER AGGLOMERANS (PANTOEA AGGLOMERANS),FALSE,TRUE,FALSE
ENTEROBACTER CLOACAE,TRUE,TRUE,TRUE
ENTEROBACTER OTHER NAMED,FALSE,FALSE,TRUE
ENTEROBACTER SAKAZAKII,FALSE,TRUE,TRUE
ENTEROBACTER SP,TRUE,TRUE,TRUE
ENTEROBIUS VERMICULARIS,FALSE,FALSE,FALSE
ENTEROCOCCUS AVIUM,FALSE,TRUE,FALSE
ENTEROCOCCUS FAECALIS (STREPTOCOCCUS FAECALIS),FALSE,FALSE,FALSE
ENTEROCOCCUS FAECIUM,FALSE,FALSE,TRUE
ENTEROCOCCUS GALLINARUM,FALSE,FALSE,FALSE
ENTEROCOCCUS SP,FALSE,FALSE,FALSE
ENTEROVIRUS UNTYPED,TRUE,TRUE,TRUE
EPSTEIN-BARR VIRUS (EB VIRUS),FALSE,TRUE,FALSE
ESCHERICHIA COLI,TRUE,TRUE,TRUE
FUSARIUM SP,FALSE,TRUE,FALSE
FUSOBACTERIUM NECROPHORUM (SPHAEROPHUS NECROPHORUM),FALSE,FALSE,TRUE
FUSOBACTERIUM SP,FALSE,FALSE,FALSE
GARDNERELLA VAGINALIS,FALSE,FALSE,FALSE
GEMELLA MORBILLORUM,FALSE,FALSE,FALSE
GIARDIA LAMBLIA,TRUE,TRUE,TRUE
HAEMOPHILUS INFLUENZAE,TRUE,TRUE,TRUE
HAEMOPHILUS PARAINFLUENZAE,FALSE,FALSE,FALSE
HAEMOPHILUS SP,FALSE,FALSE,TRUE
HAFNIA ALVEI,FALSE,FALSE,FALSE
HELICOBACTER PYLORI,FALSE,FALSE,FALSE
HELICOBACTER SP,FALSE,FALSE,FALSE
HEPATITIS A,TRUE,TRUE,TRUE
HEPATITIS B,FALSE,FALSE,TRUE
HEPATITIS C,TRUE,FALSE,TRUE
HEPATITIS E,TRUE,FALSE,TRUE
HERPES GROUP,FALSE,FALSE,FALSE
HERPES SIMPLEX VIRUS,TRUE,TRUE,TRUE
HOOKWORM SP,FALSE,TRUE,FALSE
HUMAN METAPNEUMOVIRUS (HMPV),FALSE,TRUE,TRUE
INFLUENZA A,FALSE,TRUE,TRUE
INFLUENZA B,FALSE,TRUE,TRUE
KLEBSIELLA AEROGENES,TRUE,TRUE,TRUE
KLEBSIELLA OXYTOCA,TRUE,FALSE,TRUE
KLEBSIELLA PNEUMONIAE,FALSE,TRUE,TRUE
KLEBSIELLA SP,FALSE,FALSE,TRUE
LACTOBACILLUS SP,TRUE,FALSE,FALSE
LEGIONELLA PNEUMOPHILA,FALSE,TRUE,TRUE
LISTERIA MONOCYTOGENES,FALSE,TRUE,TRUE
MEASLES VIRUS,FALSE,FALSE,FALSE
MENINGOCOCCAL MENINGITIS CLINICAL WITH NO ORGANISM,FALSE,FALSE,FALSE
MICROCOCCUS LUTEUS (SARCINA),FALSE,FALSE,FALSE
MICROCOCCUS SP,TRUE,FALSE,FALSE
MORAXELLA CATARRHALIS,TRUE,FALSE,FALSE
MORAXELLA SP,FALSE,FALSE,FALSE
MORGANELLA MORGANII,FALSE,TRUE,TRUE
MUMPS VIRUS,TRUE,FALSE,TRUE
MYCOBACTERIUM ABSCESSUS,FALSE,FALSE,FALSE
MYCOBACTERIUM AVIUM-INTRACELLULARE GROUP (MAI),TRUE,FALSE,FALSE
MYCOBACTERIUM CHELONAE,FALSE,FALSE,FALSE
MYCOBACTERIUM FORTUITUM,FALSE,FALSE,FALSE
MYCOBACTERIUM GORDONAE,FALSE,FALSE,TRUE
MYCOBACTERIUM INTRACELLULARE,FALSE,FALSE,FALSE
MYCOBACTERIUM KANSASII,FALSE,FALSE,FALSE
MYCOBACTERIUM MALMOENSE,FALSE,FALSE,FALSE
MYCOBACTERIUM OTHER NAMED,FALSE,FALSE,FALSE
MYCOBACTERIUM SP,TRUE,TRUE,TRUE
MYCOBACTERIUM TUBERCULOSIS,TRUE,TRUE,TRUE
MYCOBACTERIUM XENOPI,FALSE,FALSE,FALSE
MYCOPLASMA PNEUMONIAE,FALSE,FALSE,TRUE
MYCOPLASMA SP,FALSE,FALSE,FALSE
NEISSERIA GONORRHOEAE,TRUE,FALSE,TRUE
NEISSERIA MENINGITIDIS,TRUE,TRUE,TRUE
NEISSERIA SP,FALSE,FALSE,FALSE
NOROVIRUS,TRUE,TRUE,TRUE
PANTOEA SP,FALSE,TRUE,FALSE
PAPILLOMAVIRUS,FALSE,FALSE,FALSE
PARAINFLUENZA,TRUE,TRUE,TRUE
PARVOVIRUS B19,TRUE,TRUE,TRUE
PASTEURELLA MULTOCIDA,TRUE,TRUE,TRUE
PASTEURELLA SP,FALSE,TRUE,TRUE
PENICILLIUM SP,FALSE,FALSE,FALSE
PEPTOSTREPTOCOCCUS SP,FALSE,FALSE,FALSE
PLASMODIUM FALCIPARUM,TRUE,TRUE,TRUE
PLASMODIUM VIVAX,FALSE,FALSE,FALSE
PLESIOMONAS SHIGELLOIDES,FALSE,TRUE,TRUE
PNEUMOCYSTIS JIROVECI (CARINII),FALSE,FALSE,FALSE
POLIOVIRUS,FALSE,FALSE,FALSE
POLYOMAVIRUS BK,FALSE,FALSE,FALSE
POLYOMAVIRUS UNTYPED,FALSE,FALSE,TRUE
PROPIONIBACTERIUM ACNES,FALSE,FALSE,FALSE
PROPIONIBACTERIUM SP,FALSE,FALSE,TRUE
PROTEUS MIRABILIS,FALSE,FALSE,TRUE
PROTEUS SP,FALSE,TRUE,FALSE
PROTEUS VULGARIS,FALSE,TRUE,FALSE
PROVIDENCIA STUARTII,FALSE,FALSE,FALSE
PSEUDOMONAS AERUGINOSA,FALSE,TRUE,TRUE
PSEUDOMONAS FLUORESCENS,FALSE,FALSE,FALSE
PSEUDOMONAS OTHER NAMED,FALSE,TRUE,FALSE
PSEUDOMONAS PAUCIMOBILIS (SPHINGOMONAS PAUCIMOBILIS),FALSE,TRUE,TRUE
PSEUDOMONAS PUTIDA,FALSE,TRUE,TRUE
PSEUDOMONAS SP,TRUE,TRUE,FALSE
PSEUDOMONAS STUTZERI,FALSE,FALSE,TRUE
RAOULTELLA TERRIGENA,FALSE,FALSE,TRUE
RESPIRATORY SYNCYTIAL VIRUS (RSV),TRUE,TRUE,TRUE
RHINOVIRUS,FALSE,TRUE,TRUE
RHODOTORULA SP,FALSE,FALSE,FALSE
ROTAVIRUS,TRUE,TRUE,TRUE
RUBELLA VIRUS,TRUE,FALSE,TRUE
SALMONELLA AGONA,FALSE,TRUE,TRUE
SALMONELLA ANATUM,FALSE,TRUE,TRUE
SALMONELLA ARIZONAE,FALSE,FALSE,TRUE
SALMONELLA BAREILLY,FALSE,FALSE,FALSE
SALMONELLA BLOCKLEY,FALSE,TRUE,TRUE
SALMONELLA BOVIS-MORBIFICANS,FALSE,FALSE,FALSE
SALMONELLA BRAENDERUP,FALSE,TRUE,TRUE
SALMONELLA BRANDENBURG,FALSE,TRUE,FALSE
SALMONELLA BREDENEY,TRUE,TRUE,TRUE
SALMONELLA CORVALLIS,FALSE,FALSE,FALSE
SALMONELLA DERBY,FALSE,FALSE,TRUE
SALMONELLA ENTERITIDIS,TRUE,FALSE,TRUE
SALMONELLA HADAR,TRUE,TRUE,TRUE
SALMONELLA HEIDELBERG,TRUE,TRUE,TRUE
SALMONELLA INDIANA,FALSE,FALSE,FALSE
SALMONELLA INFANTIS,FALSE,TRUE,TRUE
SALMONELLA JAVA,TRUE,TRUE,TRUE
SALMONELLA KEDOUGOU,FALSE,TRUE,TRUE
SALMONELLA KENTUCKY,FALSE,TRUE,TRUE
SALMONELLA MBANDAKA,TRUE,TRUE,FALSE
SALMONELLA MONTEVIDEO,FALSE,TRUE,TRUE
SALMONELLA MUENCHEN,TRUE,TRUE,FALSE
SALMONELLA NEWPORT,TRUE,TRUE,TRUE
SALMONELLA ORANIENBURG,FALSE,FALSE,FALSE
SALMONELLA PANAMA,FALSE,TRUE,FALSE
SALMONELLA PARATYPHI A,FALSE,TRUE,TRUE
SALMONELLA POONA,FALSE,FALSE,FALSE
SALMONELLA SAINT-PAUL,TRUE,TRUE,TRUE
SALMONELLA SCHWARZENGRUND,FALSE,FALSE,FALSE
SALMONELLA SENFTENBERG,TRUE,TRUE,TRUE
SALMONELLA SP,TRUE,TRUE,TRUE
SALMONELLA STANLEY,FALSE,TRUE,TRUE
SALMONELLA THOMPSON,FALSE,TRUE,TRUE
SALMONELLA TYPHI,TRUE,TRUE,TRUE
SALMONELLA TYPHIMURIUM,FALSE,TRUE,TRUE
SALMONELLA UNNAMED,TRUE,TRUE,TRUE
SALMONELLA VIRCHOW,TRUE,TRUE,TRUE
SCHISTOSOMA HAEMATOBIUM,FALSE,FALSE,FALSE
SCHISTOSOMA SP,FALSE,FALSE,FALSE
SCOPULARIOPSIS BREVICAULIS,TRUE,TRUE,TRUE
SERRATIA LIQUEFACIENS,FALSE,FALSE,TRUE
SERRATIA MARCESCENS,TRUE,TRUE,TRUE
SERRATIA SP,FALSE,TRUE,TRUE
SHIGELLA BOYDII,FALSE,TRUE,TRUE
SHIGELLA DYSENTERIAE,FALSE,FALSE,FALSE
SHIGELLA FLEXNERI,TRUE,TRUE,FALSE
SHIGELLA SONNEI,TRUE,TRUE,TRUE
SHIGELLA SP,FALSE,FALSE,FALSE
STAPHYLOCOCCUS AUREUS,FALSE,FALSE,FALSE
STAPHYLOCOCCUS COAGULASE NEGATIVE,FALSE,FALSE,TRUE
STAPHYLOCOCCUS EPIDERMIDIS,FALSE,FALSE,TRUE
STAPHYLOCOCCUS OTHER NAMED,TRUE,TRUE,TRUE
STAPHYLOCOCCUS SACCHAROLYTICUS,FALSE,FALSE,TRUE
STAPHYLOCOCCUS SP,TRUE,FALSE,TRUE
STENOTROPHOMONAS MALTOPHILIA,TRUE,TRUE,TRUE
STREPTOCOCCUS ALPHA HAEMOLYTIC (STREPTOCOCCUS VIRIDANS),FALSE,FALSE,FALSE
STREPTOCOCCUS ANAEROBIC,FALSE,FALSE,FALSE
STREPTOCOCCUS ANGINOSUS (GROUP A),FALSE,FALSE,FALSE
STREPTOCOCCUS ANGINOSUS (GROUP C),FALSE,FALSE,FALSE
STREPTOCOCCUS ANGINOSUS (GROUP G),FALSE,FALSE,FALSE
STREPTOCOCCUS ANGINOSUS (UNGROUPED),FALSE,FALSE,FALSE
STREPTOCOCCUS BETA HAEMOLYTIC NOT FURTHER SPECIFIED,FALSE,FALSE,FALSE
STREPTOCOCCUS BOVIS UNTYPED,TRUE,FALSE,FALSE
STREPTOCOCCUS CONSTELLATUS (UNGROUPED),FALSE,FALSE,TRUE
STREPTOCOCCUS DYSGALACTIAE,FALSE,FALSE,FALSE
STREPTOCOCCUS GROUP A (STREPTOCOCCUS PYOGENES),FALSE,TRUE,TRUE
STREPTOCOCCUS GROUP B (STREPTOCOCCUS AGALCTIAE),FALSE,FALSE,TRUE
STREPTOCOCCUS GROUP C,TRUE,FALSE,TRUE
STREPTOCOCCUS GROUP D,FALSE,FALSE,FALSE
STREPTOCOCCUS GROUP F,TRUE,FALSE,FALSE
STREPTOCOCCUS GROUP G (STREPTOCOCCUS CANIS),TRUE,TRUE,TRUE
STREPTOCOCCUS INTERMEDIUS,FALSE,FALSE,TRUE
STREPTOCOCCUS MILLERI GROUP,FALSE,FALSE,FALSE
STREPTOCOCCUS MITIS GROUP,FALSE,FALSE,FALSE
STREPTOCOCCUS MUTANS,FALSE,FALSE,FALSE
STREPTOCOCCUS NON-HAEMOLYTIC,FALSE,FALSE,FALSE
STREPTOCOCCUS ORALIS,FALSE,TRUE,FALSE
STREPTOCOCCUS OTHER NAMED,FALSE,FALSE,FALSE
STREPTOCOCCUS PARASANGUINIS,FALSE,TRUE,TRUE
STREPTOCOCCUS PNEUMONIAE,TRUE,TRUE,TRUE
STREPTOCOCCUS SALIVARIUS,TRUE,FALSE,FALSE
STREPTOCOCCUS SANGUINIS GROUP,TRUE,FALSE,FALSE
STREPTOCOCCUS SP,FALSE,FALSE,FALSE
TAENIA SAGINATA,FALSE,FALSE,FALSE
TAENIA SP,FALSE,FALSE,FALSE
TOXOPLASMA GONDII,FALSE,FALSE,FALSE
TOXOPLASMA SP,FALSE,FALSE,FALSE
TREPONEMA PALLIDUM,FALSE,TRUE,FALSE
TREPONEMA SP,FALSE,FALSE,FALSE
TRICHOMONAS VAGINALIS,TRUE,TRUE,TRUE
TRICHOPHYTON MENTAGROPHYTES,TRUE,TRUE,TRUE
TRICHOPHYTON OTHER NAMED,FALSE,TRUE,TRUE
TRICHOPHYTON RUBRUM,TRUE,FALSE,FALSE
TRICHOPHYTON SP,TRUE,TRUE,TRUE
TRICHOPHYTON TONSURANS,FALSE,FALSE,TRUE
TRICHURIS TRICHIURA,FALSE,FALSE,FALSE
VARICELLA ZOSTER,TRUE,TRUE,TRUE
VIBRIO CHOLERAE,FALSE,TRUE,TRUE
YERSINIA ENTEROCOLITICA,FALSE,FALSE,FALSE
